Context,Text Response,lemmatized_text,similarity_bow
,"Sorry, I don't have an answer for this right now..",,0.0
How to view the manual for calculating indicators and documenting practices from the EQAUP website?,"From the Guides icon at the top of the page or the Manuals icons on the EQAUP-PLUS home page

When I click on Upload Evidence in the EQAUP system, I am not taken to the evidence page?
Allow popups to appear.",how to view the manual for calculate indicator and document practice from the eqaup website,0.0
What is the accreditation mechanism in the EQAUP system in case there are notes from the department head or the development agent (bachelor / master program models)?,"From the Forms Department - Approval of a Form - Approval Flow - Select ""Reject"" from the drop-down list - Submit
Notice :
1. If the rejection is from the head of the department, it will reach the coordinator directly
2. If the rejection is from the Vice Dean for Development, the form will be returned to the head of the department and from there to the coordinator",what be the accreditation mechanism in the eqaup system in case there be note from the department head or the development agent bachelor master program model,0.0
What is the endorsement mechanism in EQAUP in the absence of notes from the department head or the Vice dean for development (institutional accreditation / deanships)?,"The form is sent from the coordinator - the college 's vice dean for development - the dean
The coordinator's path: managing forms --- filling out the form --- approval progress tab --- sending for approval
The path of the College Development Vice-Dean / Dean: Managing Forms --- Approval Form --- Accreditation Progress Tab --- Select ""Accept"" from the drop-down menu --- Submit",what be the endorsement mechanism in eqaup in the absence of note from the department head or the vice dean for development institutional accreditation deanship,0.0
"What is the endorsement mechanism in EQAUP for health colleges in the absence of notes, provided that the health college offers only one (bachelor / postgraduate) program?","The form is sent from the coordinator --- the college vice president for development
Curator Path: Forms Management ---- Filling In The Form ---- Accreditation Progress Tab --- Submitting For Approval
The path of the faculty development agent: Managing forms - Approving a form ---- Accreditation progress tab - Selecting “Accept” from the drop-down list ---- Submit
Approval is made by the Vice Dean for Development twice, once for the Head of the Department and once for the College Vice Dean for Development.",what be the endorsement mechanism in eqaup for health college in the absence of note provide that the health college offer only one bachelor postgraduate program,0.0
What is the accreditation mechanism in the EQAUP system in the absence of notes from the head of the department or the development agent (the college has more than one program)?,"The form is sent from the coordinator --- the department head --- the vice dean for development 
The coordinator's path: managing forms --- filling out the form --- approval progress tab --- sending for approval
Section Head / Vice Dean for Development: Forms Department --- Approval Form --- Accreditation Progress Tab --- Select ""Accept"" from the dropdown menu --- Submit",what be the accreditation mechanism in the eqaup system in the absence of note from the head of the department or the development agent the college have more than one program,0.0
Is the EQAUP form sent for approval after filling out each axis separately?,"The form is sent for approval once after filling in all axes, practices and indicators.",be the eqaup form send for approval after fill out each axis separately,0.0
When will the EQAUP models be activated?,"The forms for filling out are activated annually, as it is activated in the second month of the second semester of the current academic year and continues to the first month of the first semester of the following year.",when will the eqaup model be activate,0.0
"When entering the EQAUP system from the unified access to the university systems, I am not transferred to the system page?",Allow popups to appear.,when enter the eqaup system from the unified access to the university system i be not transfer to the system page,0.0
How is the EQAUP system accessed?,"The system is accessed through:
1. The university's website by following the following path: Deanships - Deanship of Quality and Academic Accreditation (the deanship's home page) ---- electronic systems
2. Direct link: http://eqaup.kau.edu.sa
3. Single entry to university systems ---> Academic services.",how be the eqaup system access,0.0
